,Country,Dystopia Residual,Economy (GDP per Capita),Family,Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Region,Trust (Government Corruption),Year
34,Saudi Arabia,2.43872,1.39541,1.0839299999999998,0.31048000000000003,0.13706,35,6.4110000000000005,0.72025,Middle East and Northern Africa,0.32524000000000003,2015
35,Spain,2.12367,1.23011,1.31379,0.45951000000000003,0.18227000000000002,36,6.329,0.95562,Western Europe,0.06398,2015
36,Malta,1.6488,1.2074,1.30203,0.60365,0.51752,37,6.3020000000000005,0.88721,Western Europe,0.13585999999999998,2015
37,Taiwan,2.32323,1.29098,1.07617,0.3974,0.25376,38,6.297999999999999,0.8753,Eastern Asia,0.08129,2015
38,Kuwait,1.8763400000000001,1.5542200000000002,1.16594,0.55499,0.16228,39,6.295,0.72492,Middle East and Northern Africa,0.25609,2015
39,Suriname,2.79094,0.99534,0.972,0.5965699999999999,0.16990999999999998,40,6.269,0.6082,Latin America and Caribbean,0.13633,2015
40,Trinidad and Tobago,2.2688200000000003,1.21183,1.18354,0.55884,0.31844,41,6.167999999999999,0.61483,Latin America and Caribbean,0.0114,2015
41,El Salvador,3.035,0.76454,1.0250700000000001,0.4035,0.10692,42,6.13,0.67737,Latin America and Caribbean,0.11775999999999999,2015
42,Guatemala,2.74255,0.74553,1.04356,0.57733,0.27489,43,6.122999999999999,0.64425,Latin America and Caribbean,0.09472,2015
43,Uzbekistan,2.2374099999999997,0.63244,1.34043,0.6582100000000001,0.22837,44,6.002999999999999,0.59772,Central and Eastern Europe,0.30826,2015
44,Slovakia,2.2463900000000003,1.1689100000000001,1.26999,0.31751,0.16893,45,5.995,0.7890199999999999,Central and Eastern Europe,0.03431,2015
45,Japan,1.68435,1.27074,1.25712,0.49615,0.10705,46,5.987,0.99111,Eastern Asia,0.1806,2015
46,South Korea,2.21978,1.24461,0.9577399999999999,0.33208000000000004,0.18557,47,5.984,0.9653799999999999,Eastern Asia,0.07857,2015
47,Ecuador,2.5394200000000002,0.8640200000000001,0.99903,0.48573999999999995,0.11540999999999998,48,5.975,0.79075,Latin America and Caribbean,0.1809,2015
48,Bahrain,1.73797,1.32376,1.21624,0.45492,0.17362,49,5.96,0.74716,Middle East and Northern Africa,0.306,2015
49,Italy,2.0251799999999998,1.25114,1.19777,0.26236,0.22823000000000002,50,5.9479999999999995,0.9544600000000001,Western Europe,0.02901,2015
50,Bolivia,2.82334,0.68133,0.97841,0.57414,0.20536,51,5.89,0.5392,Latin America and Caribbean,0.08800000000000001,2015
51,Moldova,3.10712,0.59448,1.01528,0.32818,0.20951,52,5.888999999999999,0.61826,Central and Eastern Europe,0.01615,2015
52,Paraguay,2.18896,0.75985,1.30477,0.53899,0.3424,53,5.877999999999999,0.66098,Latin America and Caribbean,0.08242000000000001,2015
53,Kazakhstan,2.24729,1.1225399999999999,1.1224100000000001,0.51649,0.11827,54,5.855,0.64368,Central and Eastern Europe,0.08454,2015
54,Slovenia,1.6158299999999999,1.18498,1.27385,0.60855,0.25328,55,5.848,0.8733700000000001,Central and Eastern Europe,0.03787,2015
55,Lithuania,2.4464900000000003,1.14723,1.25745,0.21341999999999997,0.026410000000000003,56,5.832999999999999,0.73128,Central and Eastern Europe,0.01031,2015
56,Nicaragua,2.32407,0.59325,1.14184,0.55475,0.27815,57,5.827999999999999,0.7431399999999999,Latin America and Caribbean,0.19317,2015
57,Peru,2.5945,0.9001899999999999,0.97459,0.41496000000000005,0.14982,58,5.824,0.73017,Latin America and Caribbean,0.05989,2015
58,Belarus,2.1309,1.0319200000000002,1.23289,0.37938,0.11045999999999999,59,5.813,0.7360800000000001,Central and Eastern Europe,0.1909,2015
59,Poland,1.86565,1.12555,1.27948,0.53122,0.16759000000000002,60,5.791,0.77903,Central and Eastern Europe,0.04212,2015
60,Malaysia,1.8854099999999998,1.12486,1.07023,0.5302399999999999,0.33075,61,5.77,0.7239399999999999,Southeastern Asia,0.10500999999999999,2015
61,Croatia,2.75414,1.08254,0.79624,0.25883,0.054439999999999995,62,5.7589999999999995,0.78805,Central and Eastern Europe,0.0243,2015
62,Libya,2.0906599999999997,1.13145,1.1186200000000002,0.41668,0.18295,63,5.754,0.7038,Middle East and Northern Africa,0.11023,2015
63,Russia,2.27394,1.13764,1.23617,0.36679,0.00199,64,5.716,0.6692600000000001,Central and Eastern Europe,0.03005,2015
64,Jamaica,2.32038,0.81038,1.1510200000000002,0.50442,0.2123,65,5.709,0.6874100000000001,Latin America and Caribbean,0.02299,2015
65,North Cyprus,1.5988799999999999,1.2080600000000001,1.07008,0.49027,0.26169000000000003,66,5.695,0.92356,Western Europe,0.1428,2015
66,Cyprus,1.8893099999999998,1.20813,0.89318,0.40671999999999997,0.30638000000000004,67,5.689,0.92356,Western Europe,0.06146,2015
67,Algeria,2.43209,0.93929,1.07772,0.28579,0.07822,68,5.605,0.61766,Middle East and Northern Africa,0.17382999999999998,2015
68,Kosovo,2.76579,0.80148,0.81198,0.24749000000000002,0.2831,69,5.5889999999999995,0.63132,Central and Eastern Europe,0.04741,2015
69,Turkmenistan,1.8698400000000002,0.95847,1.22668,0.4761,0.16979,70,5.547999999999999,0.53886,Central and Eastern Europe,0.30844,2015
70,Mauritius,1.76145,1.0076100000000001,0.98521,0.56066,0.37744,71,5.477,0.7095,Sub-Saharan Africa,0.07521,2015
71,Hong Kong,0.6542899999999999,1.38604,1.05818,0.59608,0.39478,72,5.474,1.01328,Eastern Asia,0.37124,2015
72,Estonia,1.58782,1.15174,1.22791,0.44888,0.0868,73,5.428999999999999,0.77361,Central and Eastern Europe,0.15184,2015
73,Indonesia,1.86399,0.8282700000000001,1.0870799999999998,0.46611,0.51535,74,5.399,0.63793,Southeastern Asia,0.0,2015
74,Vietnam,2.20173,0.63216,0.9122600000000001,0.59444,0.1686,75,5.36,0.7467600000000001,Southeastern Asia,0.10440999999999999,2015
75,Turkey,2.08528,1.06098,0.94632,0.22815,0.12253,76,5.332000000000001,0.73172,Middle East and Northern Africa,0.15746,2015
76,Kyrgyzstan,2.2327,0.47428000000000003,1.15115,0.43477,0.3003,77,5.2860000000000005,0.65088,Central and Eastern Europe,0.042319999999999997,2015
77,Nigeria,2.89319,0.65435,0.9043200000000001,0.34334000000000003,0.27233,78,5.268,0.16007000000000002,Sub-Saharan Africa,0.0403,2015
78,Bhutan,1.63794,0.77042,1.10395,0.5320600000000001,0.47998,79,5.252999999999999,0.57407,Southern Asia,0.15445,2015
79,Azerbaijan,2.00073,1.02389,0.9379299999999999,0.3703,0.07799,80,5.212000000000001,0.64045,Central and Eastern Europe,0.16065,2015
80,Pakistan,3.1070900000000004,0.59543,0.41411000000000003,0.12102,0.33671,81,5.194,0.51466,Southern Asia,0.10464000000000001,2015
81,Jordan,1.8799599999999999,0.9019799999999999,1.05392,0.40660999999999997,0.11052999999999999,82,5.192,0.69639,Middle East and Northern Africa,0.14293,2015
82,Montenegro,2.10017,0.9743799999999999,0.9055700000000001,0.1826,0.1614,82,5.192,0.72521,Central and Eastern Europe,0.14296,2015
83,China,1.8604,0.89012,0.94675,0.5169699999999999,0.08185,84,5.14,0.81658,Eastern Asia,0.02781,2015
84,Zambia,2.6343,0.47038,0.91612,0.48827,0.19591,85,5.129,0.29924,Sub-Saharan Africa,0.12468,2015
85,Romania,1.9312900000000002,1.04345,0.8858799999999999,0.35068,0.13748,86,5.124,0.7689,Central and Eastern Europe,0.006490000000000001,2015
86,Serbia,2.025,0.92053,1.0096399999999999,0.20107,0.19230999999999998,87,5.122999999999999,0.74836,Central and Eastern Europe,0.02617,2015
87,Portugal,1.26462,1.15991,1.13935,0.51469,0.13719,88,5.102,0.8751899999999999,Western Europe,0.01078,2015
88,Latvia,1.62215,1.11312,1.09562,0.29671,0.18225999999999998,89,5.098,0.72437,Central and Eastern Europe,0.06332,2015
89,Philippines,1.7536,0.70532,1.03516,0.62545,0.24991,90,5.073,0.58114,Southeastern Asia,0.12279000000000001,2015
90,Somaliland region,2.11032,0.18847,0.95152,0.46581999999999996,0.5031800000000001,91,5.0569999999999995,0.43873,Sub-Saharan Africa,0.39928,2015
91,Morocco,2.4537299999999997,0.7347899999999999,0.64095,0.41691000000000006,0.07172,92,5.013,0.60954,Middle East and Northern Africa,0.08546000000000001,2015
92,Macedonia,1.7393299999999998,0.91851,1.00232,0.33457,0.22359,93,5.007,0.73545,Central and Eastern Europe,0.053270000000000005,2015
93,Mozambique,3.05137,0.08308,1.02626,0.34037,0.22269,94,4.971,0.09131,Sub-Saharan Africa,0.15603,2015
94,Albania,1.89894,0.8786700000000001,0.8043399999999999,0.35733000000000004,0.14272,95,4.959,0.81325,Central and Eastern Europe,0.06412999999999999,2015
95,Bosnia and Herzegovina,2.06367,0.8322299999999999,0.9191600000000001,0.09245,0.24808000000000002,96,4.949,0.79081,Central and Eastern Europe,0.00227,2015
96,Lesotho,2.79832,0.37545,1.04103,0.31767,0.16388,97,4.898,0.07612000000000001,Sub-Saharan Africa,0.12504,2015
97,Dominican Republic,1.21305,0.8953700000000001,1.17202,0.57672,0.21684,98,4.885,0.66825,Latin America and Caribbean,0.14234000000000002,2015
98,Laos,1.7379900000000001,0.5906600000000001,0.73803,0.59591,0.42191999999999996,99,4.876,0.54909,Southeastern Asia,0.24249,2015
99,Mongolia,1.34759,0.82819,1.3006,0.43626000000000004,0.3323,100,4.874,0.60268,Eastern Asia,0.026660000000000003,2015
100,Swaziland,2.48676,0.71206,1.07284,0.30658,0.18259,101,4.867,0.07566,Sub-Saharan Africa,0.0306,2015
101,Greece,1.8010099999999998,1.15406,0.9293299999999999,0.07699,0.0,102,4.857,0.88213,Western Europe,0.013969999999999998,2015
102,Lebanon,1.57059,1.0256399999999999,0.80001,0.33916,0.21854,103,4.8389999999999995,0.83947,Middle East and Northern Africa,0.04582,2015
103,Hungary,1.24074,1.12094,1.20215,0.32111999999999996,0.128,104,4.8,0.75905,Central and Eastern Europe,0.02758,2015
104,Honduras,1.84408,0.59532,0.9534799999999999,0.40148,0.23026999999999997,105,4.788,0.6951,Latin America and Caribbean,0.06825,2015
105,Tajikistan,2.1139900000000003,0.39047,0.8556299999999999,0.47216,0.22974,106,4.7860000000000005,0.5737899999999999,Central and Eastern Europe,0.15072,2015
106,Tunisia,2.12466,0.88113,0.60429,0.26268,0.06431,107,4.739,0.73793,Middle East and Northern Africa,0.06358,2015
107,Palestinian Territories,2.0438400000000003,0.59867,0.92558,0.24499,0.11250999999999999,108,4.715,0.66015,Middle East and Northern Africa,0.12905,2015
108,Bangladesh,2.51767,0.39753,0.43106000000000005,0.4082,0.21222,109,4.694,0.60164,Southern Asia,0.12569,2015
109,Iran,1.6944,1.0088,0.54447,0.30033000000000004,0.38086,110,4.686,0.69805,Middle East and Northern Africa,0.058629999999999995,2015
110,Ukraine,1.5714,0.79907,1.20278,0.25123,0.15275,111,4.681,0.6739,Central and Eastern Europe,0.02961,2015
111,Iraq,1.95335,0.98549,0.81889,0.0,0.17922000000000002,112,4.677,0.60237,Middle East and Northern Africa,0.13788,2015
112,South Africa,1.7195599999999998,0.9204899999999999,1.18468,0.33207,0.11972999999999999,113,4.6419999999999995,0.27688,Sub-Saharan Africa,0.08884,2015
113,Ghana,2.30919,0.5455800000000001,0.6795399999999999,0.42341999999999996,0.23087,114,4.633,0.40131999999999995,Sub-Saharan Africa,0.04355,2015
114,Zimbabwe,2.44191,0.271,1.0327600000000001,0.25861,0.18987,115,4.61,0.33475,Sub-Saharan Africa,0.08079,2015
115,Liberia,2.7772900000000003,0.0712,0.78968,0.28531,0.24361999999999998,116,4.571000000000001,0.34201,Sub-Saharan Africa,0.06232000000000001,2015
116,India,2.27513,0.64499,0.38174,0.39786,0.26475,117,4.565,0.5152899999999999,Southern Asia,0.08492000000000001,2015
117,Sudan,2.20857,0.52107,1.01404,0.10081,0.19062,118,4.55,0.36878,Sub-Saharan Africa,0.1466,2015
118,Haiti,2.24173,0.26673,0.74302,0.24425,0.46187,119,4.518,0.38847,Latin America and Caribbean,0.17175,2015
119,Congo (Kinshasa),2.86712,0.0,1.0012,0.22605,0.24834,120,4.5169999999999995,0.09806000000000001,Sub-Saharan Africa,0.07625,2015
120,Nepal,1.9563700000000002,0.35996999999999996,0.86449,0.38282,0.32295999999999997,121,4.513999999999999,0.5687399999999999,Southern Asia,0.059070000000000004,2015
121,Ethiopia,2.44876,0.19072999999999998,0.60406,0.4345,0.24325,122,4.512,0.44055,Sub-Saharan Africa,0.15048,2015
122,Sierra Leone,2.51009,0.33024000000000003,0.9557100000000001,0.4084,0.21488000000000002,123,4.507,0.0,Sub-Saharan Africa,0.08786000000000001,2015
123,Mauritania,2.11773,0.45407,0.86908,0.24231999999999998,0.21899999999999997,124,4.436,0.35874,Sub-Saharan Africa,0.17461,2015
124,Kenya,1.78555,0.36471,0.99876,0.42215,0.37542,125,4.419,0.41435,Sub-Saharan Africa,0.05839,2015
125,Djibouti,2.05125,0.44025,0.59207,0.46074,0.18093,126,4.369,0.36291,Sub-Saharan Africa,0.28105,2015
126,Armenia,1.75873,0.7682100000000001,0.7771100000000001,0.19847,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.039,2015
127,Botswana,1.46181,0.99355,1.10464,0.49495,0.10461,128,4.332,0.047760000000000004,Sub-Saharan Africa,0.12474,2015
128,Myanmar,1.41805,0.27108000000000004,0.70905,0.44017,0.79588,129,4.3069999999999995,0.48246000000000006,Southeastern Asia,0.19034,2015
129,Georgia,1.59541,0.7419,0.38561999999999996,0.40576999999999996,0.055470000000000005,130,4.297,0.72926,Central and Eastern Europe,0.38331,2015
130,Malawi,2.8079099999999997,0.016040000000000002,0.41134,0.43054,0.33128,131,4.292,0.22562,Sub-Saharan Africa,0.06977,2015
131,Sri Lanka,0.67108,0.83524,1.01905,0.5372600000000001,0.40828000000000003,132,4.271,0.70806,Southern Asia,0.09179,2015
132,Cameroon,1.95071,0.4225,0.8876700000000001,0.49309,0.20618000000000003,133,4.252,0.23401999999999998,Sub-Saharan Africa,0.05786,2015
133,Bulgaria,0.89991,1.01216,1.10614,0.30587,0.11921,134,4.218,0.76649,Central and Eastern Europe,0.00872,2015
134,Egypt,1.59927,0.8818,0.747,0.17288,0.11291,135,4.194,0.61712,Middle East and Northern Africa,0.06324,2015
135,Yemen,1.92313,0.5464899999999999,0.68093,0.35570999999999997,0.09131,136,4.077,0.40064,Middle East and Northern Africa,0.07854,2015
136,Angola,1.9493900000000002,0.75778,0.8604,0.10384000000000002,0.12344000000000001,137,4.033,0.16683,Sub-Saharan Africa,0.07122,2015
137,Mali,1.79293,0.26074,1.03526,0.38856999999999997,0.18798,138,3.995,0.20583,Sub-Saharan Africa,0.12352,2015
138,Congo (Brazzaville),1.68135,0.67866,0.6629,0.41466000000000003,0.12387999999999999,139,3.989,0.31051,Sub-Saharan Africa,0.11685999999999999,2015
139,Comoros,1.95812,0.23906,0.79273,0.22916999999999998,0.17440999999999998,140,3.9560000000000004,0.36315,Sub-Saharan Africa,0.19899999999999998,2015
140,Uganda,1.42766,0.21101999999999999,1.13299,0.45726999999999995,0.29066,141,3.931,0.33860999999999997,Sub-Saharan Africa,0.07267,2015
141,Senegal,1.44395,0.36498,0.97619,0.36772,0.20843000000000003,142,3.904,0.4354,Sub-Saharan Africa,0.10712999999999999,2015
142,Gabon,0.99895,1.06024,0.90528,0.31914000000000003,0.06822,143,3.8960000000000004,0.43372,Sub-Saharan Africa,0.11091,2015
143,Niger,1.87877,0.0694,0.77265,0.47691999999999996,0.19387000000000001,144,3.845,0.29707,Sub-Saharan Africa,0.15639,2015
144,Cambodia,0.98195,0.46038,0.62736,0.66246,0.40359,145,3.819,0.61114,Southeastern Asia,0.07247,2015
145,Tanzania,1.38079,0.2852,1.00268,0.32878,0.34376999999999996,146,3.781,0.38215,Sub-Saharan Africa,0.05747000000000001,2015
146,Madagascar,1.851,0.20824,0.66801,0.19184,0.21333000000000002,147,3.681,0.46721,Sub-Saharan Africa,0.08123999999999999,2015
147,Central African Republic,2.7223,0.0785,0.0,0.48878999999999995,0.23835,148,3.678,0.06699,Sub-Saharan Africa,0.08288999999999999,2015
148,Chad,1.9429599999999998,0.34193,0.76062,0.23501,0.18386,149,3.667,0.1501,Sub-Saharan Africa,0.05269,2015
149,Guinea,1.9917200000000002,0.17417,0.46475,0.37725,0.28657,150,3.656,0.24009,Sub-Saharan Africa,0.12139000000000001,2015
150,Ivory Coast,1.41723,0.46534,0.77115,0.46866,0.20165,151,3.655,0.15185,Sub-Saharan Africa,0.17922000000000002,2015
151,Burkina Faso,1.46494,0.25811999999999996,0.85188,0.39493,0.21746999999999997,152,3.5869999999999997,0.27125,Sub-Saharan Africa,0.12832000000000002,2015
152,Afghanistan,1.9521,0.31982,0.30285,0.23414000000000001,0.3651,153,3.575,0.30335,Southern Asia,0.09719,2015
153,Rwanda,0.67042,0.22208000000000003,0.7737,0.59201,0.22628,154,3.465,0.42863999999999997,Sub-Saharan Africa,0.55191,2015
154,Benin,1.6332799999999998,0.28665,0.35386,0.4845,0.1826,155,3.34,0.3191,Sub-Saharan Africa,0.0801,2015
155,Syria,0.32858000000000004,0.6632,0.47489,0.15684,0.47179,156,3.0060000000000002,0.7219300000000001,Middle East and Northern Africa,0.18905999999999998,2015
156,Burundi,1.83302,0.0153,0.41586999999999996,0.1185,0.19727,157,2.905,0.22396,Sub-Saharan Africa,0.10062,2015
157,Togo,1.56726,0.20868,0.13995,0.36453,0.16680999999999999,158,2.839,0.28443,Sub-Saharan Africa,0.10730999999999999,2015
0,Denmark,2.73939,1.4417799999999998,1.16374,0.5794100000000001,0.36171,1,7.526,0.79504,Western Europe,0.44453000000000004,2016
1,Switzerland,2.69463,1.5273299999999999,1.14524,0.58557,0.28083,2,7.5089999999999995,0.86303,Western Europe,0.41203,2016
2,Iceland,2.83137,1.42666,1.18326,0.56624,0.47678000000000004,3,7.501,0.8673299999999999,Western Europe,0.14975,2016
3,Norway,2.66465,1.57744,1.1269,0.59609,0.37895,4,7.497999999999999,0.79579,Western Europe,0.35775999999999997,2016
4,Finland,2.82596,1.40598,1.1346399999999999,0.57104,0.25492,5,7.412999999999999,0.81091,Western Europe,0.41003999999999996,2016
5,Canada,2.70485,1.44015,1.0961,0.5737,0.44833999999999996,6,7.404,0.8276,North America,0.31329,2016
6,Netherlands,2.70749,1.46468,1.02912,0.55211,0.47416,7,7.3389999999999995,0.8123100000000001,Western Europe,0.29927,2016
7,New Zealand,2.47553,1.36066,1.17278,0.5814699999999999,0.49401000000000006,8,7.334,0.83096,Australia and New Zealand,0.41903999999999997,2016
8,Australia,2.5465,1.4444299999999999,1.10476,0.5683699999999999,0.47407,9,7.313,0.8512,Australia and New Zealand,0.32331,2016
9,Sweden,2.54734,1.45181,1.08764,0.58218,0.38254,10,7.291,0.83121,Western Europe,0.40867,2016
10,Israel,3.31029,1.33766,0.9953700000000001,0.36432,0.32288,11,7.267,0.8491700000000001,Middle East and Northern Africa,0.08728,2016
11,Austria,2.6934299999999998,1.45038,1.0838299999999998,0.54355,0.32865,12,7.119,0.80565,Western Europe,0.21348000000000003,2016
12,United States,2.72782,1.50796,1.04782,0.48163,0.41076999999999997,13,7.104,0.779,North America,0.14868,2016
13,Costa Rica,3.3516800000000004,1.06879,1.02152,0.55225,0.22553,14,7.087000000000001,0.76146,Latin America and Caribbean,0.10547000000000001,2016
14,Puerto Rico,3.0076,1.35943,1.08113,0.46823000000000004,0.22202,15,7.039,0.77758,Latin America and Caribbean,0.12275,2016
15,Germany,2.5093099999999997,1.44787,1.09774,0.53466,0.30451999999999996,16,6.994,0.81487,Western Europe,0.28551,2016
16,Brazil,3.5073300000000005,1.08754,1.03938,0.40425,0.15775999999999998,17,6.952000000000001,0.61415,Latin America and Caribbean,0.14165999999999998,2016
17,Belgium,2.61355,1.42539,1.05249,0.51354,0.2424,18,6.928999999999999,0.8195899999999999,Western Europe,0.26248,2016
18,Ireland,2.15988,1.4834100000000001,1.16157,0.54008,0.44963000000000003,19,6.907,0.81455,Western Europe,0.29754,2016
19,Luxembourg,2.11055,1.6975200000000001,1.03999,0.5487,0.27571,20,6.871,0.8454200000000001,Western Europe,0.35329,2016
20,Mexico,3.5590599999999997,1.1150799999999998,0.7146,0.37709000000000004,0.11735,21,6.778,0.71143,Latin America and Caribbean,0.18355,2016
21,Singapore,1.99375,1.64555,0.8675799999999999,0.4877,0.32706,22,6.739,0.94719,Southeastern Asia,0.46986999999999995,2016
22,United Kingdom,2.1499900000000003,1.40283,1.0867200000000001,0.50036,0.50156,23,6.725,0.80991,Western Europe,0.27399,2016
23,Chile,2.95505,1.2167,0.9058700000000001,0.37789,0.31595,24,6.705,0.8188300000000001,Latin America and Caribbean,0.11450999999999999,2016
24,Panama,3.00559,1.18306,0.9891200000000001,0.48927,0.2418,25,6.7010000000000005,0.70835,Latin America and Caribbean,0.08423,2016
25,Argentina,3.12985,1.15137,1.0661200000000002,0.42283999999999994,0.10989000000000002,26,6.65,0.69711,Latin America and Caribbean,0.07296,2016
26,Czech Republic,2.96211,1.30915,1.00793,0.41418,0.09929,27,6.596,0.76376,Central and Eastern Europe,0.03986,2016
27,United Arab Emirates,2.21507,1.57352,0.8711399999999999,0.56215,0.26591,28,6.5729999999999995,0.72993,Middle East and Northern Africa,0.35561,2016
28,Uruguay,2.67139,1.18157,1.0314299999999998,0.54388,0.18056,29,6.545,0.72183,Latin America and Caribbean,0.21394000000000002,2016
29,Malta,1.99032,1.30782,1.09879,0.54994,0.56237,30,6.4879999999999995,0.80315,Western Europe,0.17554,2016
30,Colombia,3.1747099999999997,1.0303200000000001,1.02169,0.44735,0.15625999999999998,31,6.481,0.59659,Latin America and Caribbean,0.053989999999999996,2016
31,France,2.4744,1.39488,1.00508,0.46562,0.1216,32,6.478,0.83795,Western Europe,0.17808,2016
32,Thailand,2.5796,1.0893,1.04477,0.49553,0.58696,33,6.474,0.64915,Southeastern Asia,0.02833,2016
33,Saudi Arabia,2.61482,1.48953,0.84829,0.37904,0.15457,34,6.379,0.59267,Middle East and Northern Africa,0.30008,2016
34,Taiwan,2.61523,1.39729,0.92624,0.32377,0.25495,34,6.379,0.79565,Eastern Asia,0.0663,2016
35,Qatar,1.5822399999999999,1.82427,0.87964,0.56679,0.32388,36,6.375,0.71723,Middle East and Northern Africa,0.48049,2016
36,Spain,2.39663,1.34253,1.12945,0.37545,0.17665,37,6.361000000000001,0.8789600000000001,Western Europe,0.06137000000000001,2016
37,Algeria,3.40904,1.05266,0.83309,0.21006,0.07044,38,6.355,0.6180399999999999,Middle East and Northern Africa,0.16157,2016
38,Guatemala,3.19863,0.83454,0.8711899999999999,0.50379,0.28808,39,6.324,0.5403899999999999,Latin America and Caribbean,0.08701,2016
39,Suriname,3.06852,1.09686,0.77866,0.5223399999999999,0.16665,40,6.269,0.5093300000000001,Latin America and Caribbean,0.12692,2016
